sexe;age;presence_enfant_conduite_accompagne;presence_enfants;tranche_de_revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis;D_aléatoire
F;26;Non;Oui;[40k€+];Commercial;Sports Car;no;0;7.0;Highly Urban/ Urban;25/02/2022;complet;dev_integral;323,39;63488-1
F;93;Oui;Oui;[40k€+];Private;Minivan;no;2;1.0;Highly Urban/ Urban;24/05/2022;complet;dev_express;257,56;43548-2
F;47;Non;Oui;[20k€, 40k€];Private;Pickup;no;0;4.0;z_Highly Rural/ Rural;24/01/2022;complet;dev_express;250,68;65029-3
F;4;Non;Non;[0, 20k€];Private;z_SUV;no;3;5.0;Highly Urban/ Urban;20/04/2022;complet;dev_integral;300,3;96513-4
M;69;Non;Non;Inconnus;Commercial;Panel Truck;no;2;12.0;Highly Urban/ Urban;23/03/2022;complet;dev_vip;648,13;64519-5
F;33;Non;Oui;[40k€+];Private;z_SUV;no;2;15.0;z_Highly Rural/ Rural;23/03/2022;complet;dev_premium;459,83;93035-6
F;84;Oui;Oui;[40k€+];Commercial;Minivan;no;0;9.0;z_Highly Rural/ Rural;13/03/2022;complet;dev_express;261,28;76995-7
M;69;Non;Non;[40k€+];Private;z_SUV;no;1;10.0;Highly Urban/ Urban;09/03/2022;complet;dev_premium;343,17;84151-8
M;69;Non;Non;[40k€+];Private;Minivan;no;0;14.0;Highly Urban/ Urban;29/01/2022;complet;dev_premium;389,24;52700-9
F;51;Non;Non;Inconnus;Commercial;Panel Truck;yes;1;10.0;Highly Urban/ Urban;26/03/2022;complet;dev_integral;310,66;14095-10
F;58;Oui;Oui;[20k€, 40k€];Private;Minivan;no;0;10.0;Highly Urban/ Urban;26/05/2022;complet;dev_express;261,6;60311-11
M;8;Non;Oui;[20k€, 40k€];Private;z_SUV;no;0;1.0;Highly Urban/ Urban;27/01/2022;complet;dev_premium;380,99;84881-12
F;75;Non;Non;[40k€+];Private;z_SUV;no;0;18.0;Highly Urban/ Urban;08/05/2022;complet;dev_express;251,44;19075-13
M;8;Non;Non;[0, 20k€];Commercial;Van;no;5;6.0;z_Highly Rural/ Rural;02/05/2022;complet;dev_integral;307,66;14603-14
M;80;Non;Oui;[20k€, 40k€];Private;Minivan;no;0;1.0;Highly Urban/ Urban;15/04/2022;complet;dev_integral;302,89;35647-15
M;87;Non;Non;[40k€+];Private;Minivan;no;0;13.0;Highly Urban/ Urban;11/05/2022;complet;dev_express;279,3;11512-16
F;52;Non;Non;[40k€+];Private;z_SUV;no;0;15.0;Highly Urban/ Urban;12/04/2022;complet;dev_integral;321,99;68903-17
F;89;Non;Non;[40k€+];Commercial;Van;yes;1;8.0;Highly Urban/ Urban;04/03/2022;complet;dev_express;278,63;98694-18
F;70;Non;Non;[40k€+];Private;Minivan;yes;0;11.0;Highly Urban/ Urban;05/02/2022;complet;dev_express;271,83;87028-19
F;85;Non;Non;[40k€+];Private;z_SUV;no;0;10.0;Highly Urban/ Urban;25/04/2022;complet;dev_integral;287,68;37876-20
M;37;Non;Oui;[40k€+];Private;Minivan;no;0;16.0;z_Highly Rural/ Rural;20/03/2022;complet;dev_express;270,39;44492-21
M;94;Oui;Oui;[20k€, 40k€];Private;Minivan;no;1;;Highly Urban/ Urban;27/03/2022;complet;dev_premium;376,14;42844-22
F;25;Non;Non;Inconnus;Commercial;Van;yes;0;7.0;Highly Urban/ Urban;16/05/2022;complet;dev_premium;372,97;78050-23
F;84;Non;Oui;[40k€+];Commercial;Sports Car;no;5;1.0;Highly Urban/ Urban;06/02/2022;complet;dev_premium;455,67;56263-24
M;21;Non;Non;[20k€, 40k€];Commercial;Pickup;no;1;1.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;260,6;41053-25
M;68;Non;Non;Inconnus;Private;Minivan;yes;1;;z_Highly Rural/ Rural;13/04/2022;complet;dev_express;257,29;89809-26
F;27;Non;Non;[40k€+];Private;Sports Car;no;0;1.0;z_Highly Rural/ Rural;22/03/2022;complet;dev_integral;285,83;89831-27
F;47;Non;Non;[40k€+];Private;z_SUV;no;5;;Highly Urban/ Urban;22/04/2022;complet;dev_integral;282,37;85986-28
F;56;Non;Non;[40k€+];Private;z_SUV;no;0;1.0;Highly Urban/ Urban;23/03/2022;complet;dev_vip;871,83;25929-29
F;19;Non;Non;[40k€+];Private;z_SUV;no;0;17.0;Highly Urban/ Urban;12/02/2022;complet;dev_premium;351,23;76528-30
F;51;Non;Oui;[20k€, 40k€];Private;z_SUV;no;0;1.0;Highly Urban/ Urban;14/01/2022;complet;dev_express;257,94;42520-31
M;41;Non;Oui;[20k€, 40k€];Commercial;Minivan;yes;6;5.0;z_Highly Rural/ Rural;09/04/2022;complet;dev_integral;320,63;30180-32
F;68;Non;Non;[40k€+];Private;z_SUV;no;3;9.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;257,69;54925-33
M;7;Non;Non;[20k€, 40k€];Private;z_SUV;no;2;6.0;z_Highly Rural/ Rural;04/02/2022;complet;dev_premium;406,26;15568-34
M;47;Oui;Oui;[40k€+];Private;Sports Car;no;0;12.0;Highly Urban/ Urban;05/02/2022;complet;dev_express;269;30975-35
F;71;Non;Non;[20k€, 40k€];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;08/02/2022;complet;dev_integral;302,56;20551-36
F;64;Non;Non;[20k€, 40k€];Commercial;Sports Car;no;0;15.0;Highly Urban/ Urban;06/02/2022;complet;dev_express;264,33;29314-37
F;9;Non;Oui;[40k€+];Private;z_SUV;no;2;14.0;Highly Urban/ Urban;09/02/2022;complet;dev_integral;284,9;83629-38
F;58;Non;Non;[40k€+];Private;Minivan;no;0;15.0;Highly Urban/ Urban;26/05/2022;complet;dev_integral;280,03;94401-39
M;37;Non;Non;[40k€+];Private;z_SUV;no;1;11.0;z_Highly Rural/ Rural;04/03/2022;complet;dev_premium;416,72;42113-40
F;21;Oui;Oui;Inconnus;Private;Sports Car;no;0;10.0;Highly Urban/ Urban;31/05/2022;complet;dev_express;260,27;40172-41
F;88;Non;Oui;[0, 20k€];Private;z_SUV;no;5;8.0;Highly Urban/ Urban;30/04/2022;complet;dev_express;257,99;12819-42
M;62;Non;Oui;[0, 20k€];Commercial;Pickup;yes;0;10.0;Highly Urban/ Urban;20/03/2022;complet;dev_express;260,17;14476-43
F;60;Oui;Oui;[40k€+];Private;Pickup;yes;0;;Highly Urban/ Urban;02/04/2022;complet;dev_premium;417,16;88005-44
M;55;Non;Non;[40k€+];Private;z_SUV;no;0;13.0;Highly Urban/ Urban;02/01/2022;complet;dev_integral;324,91;81823-45
F;68;Non;Non;[40k€+];Private;z_SUV;no;4;15.0;Highly Urban/ Urban;24/02/2022;complet;dev_express;262,87;23746-46
M;79;Non;Oui;[0, 20k€];Private;z_SUV;no;1;1.0;Highly Urban/ Urban;05/04/2022;complet;dev_express;278,71;81317-47
F;44;Non;Non;[40k€+];Commercial;Panel Truck;yes;1;13.0;Highly Urban/ Urban;21/02/2022;complet;dev_integral;309,66;61400-48
M;80;Non;Non;[40k€+];Commercial;Van;yes;0;7.0;Highly Urban/ Urban;21/03/2022;complet;dev_integral;281,99;86935-49
F;41;Oui;Oui;[40k€+];Private;Van;yes;1;1.0;z_Highly Rural/ Rural;03/04/2022;complet;dev_integral;295,63;12762-50
F;27;Non;Non;[20k€, 40k€];Commercial;Pickup;yes;7;1.0;Highly Urban/ Urban;28/03/2022;complet;dev_integral;311,33;16244-51
F;51;Non;Oui;[40k€+];Private;Minivan;no;1;5.0;Highly Urban/ Urban;21/03/2022;complet;dev_express;272,78;40033-52
M;22;Non;Non;[40k€+];Private;Minivan;no;0;7.0;Highly Urban/ Urban;23/05/2022;complet;dev_express;283,84;30971-53
F;50;Non;Non;[40k€+];Private;Sports Car;no;0;19.0;Highly Urban/ Urban;03/05/2022;complet;dev_express;278,62;45589-54
F;9;Non;Non;[40k€+];Commercial;Minivan;no;5;8.0;z_Highly Rural/ Rural;11/04/2022;complet;dev_express;266,25;29371-55
M;51;Non;Non;[40k€+];Private;Van;no;0;13.0;Highly Urban/ Urban;05/01/2022;complet;dev_premium;374,18;39143-56
F;58;Non;Oui;[40k€+];Commercial;Van;yes;4;9.0;Highly Urban/ Urban;14/05/2022;complet;dev_integral;293;30420-57
M;35;Non;Non;[40k€+];Private;z_SUV;no;2;12.0;Highly Urban/ Urban;20/04/2022;complet;dev_express;255,32;29192-58
F;75;Oui;Oui;[20k€, 40k€];Private;Van;yes;0;1.0;Highly Urban/ Urban;22/01/2022;complet;dev_express;267,14;33592-59
F;33;Oui;Oui;[20k€, 40k€];Private;Sports Car;no;1;7.0;Highly Urban/ Urban;26/04/2022;complet;dev_express;254,03;10371-60
F;75;Non;Non;[40k€+];Private;Minivan;no;0;16.0;Highly Urban/ Urban;23/03/2022;complet;dev_integral;298,3;49039-61
F;57;Non;Non;[40k€+];Private;Pickup;no;0;8.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;259,8;91425-62
F;73;Non;Oui;[40k€+];Commercial;Van;no;0;5.0;Highly Urban/ Urban;24/05/2022;complet;dev_integral;289,65;51859-63
F;83;Non;Oui;[20k€, 40k€];Private;Sports Car;no;0;1.0;Highly Urban/ Urban;09/05/2022;complet;dev_express;252,04;22335-64
F;6;Non;Non;[0, 20k€];Private;z_SUV;no;0;6.0;Highly Urban/ Urban;22/04/2022;complet;dev_integral;284,73;41913-65
M;53;Non;Non;[40k€+];Private;z_SUV;no;5;1.0;Highly Urban/ Urban;17/05/2022;complet;dev_express;253,32;22655-66
M;71;Non;Non;[40k€+];Private;Pickup;no;0;7.0;Highly Urban/ Urban;01/05/2022;complet;dev_express;266;25047-67
M;53;Non;Non;[0, 20k€];Private;Minivan;no;3;5.0;z_Highly Rural/ Rural;29/05/2022;complet;dev_express;258,13;28988-68
M;75;Non;Oui;[20k€, 40k€];Private;z_SUV;yes;2;13.0;Highly Urban/ Urban;04/04/2022;complet;dev_express;259,15;69534-69
F;26;Non;Non;[40k€+];Commercial;Pickup;no;1;3.0;Highly Urban/ Urban;27/01/2022;complet;dev_integral;303,74;86058-70
F;6;Non;Non;[40k€+];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;13/01/2022;complet;dev_integral;304,33;14334-71
M;37;Non;Non;[40k€+];Private;z_SUV;no;2;12.0;Highly Urban/ Urban;08/01/2022;complet;dev_express;272,22;57421-72
M;12;Non;Non;[40k€+];Private;Minivan;yes;2;9.0;Highly Urban/ Urban;05/04/2022;complet;dev_integral;289,83;14513-73
F;82;Non;Oui;[40k€+];Private;Minivan;no;2;9.0;z_Highly Rural/ Rural;14/02/2022;complet;dev_premium;481,13;61657-74
M;81;Non;Non;[40k€+];Private;Pickup;no;0;8.0;Highly Urban/ Urban;14/01/2022;complet;dev_express;250,31;99351-75
F;32;Non;Non;[40k€+];Private;z_SUV;no;1;18.0;Highly Urban/ Urban;20/04/2022;complet;dev_integral;312,28;13450-76
F;75;Non;Non;[40k€+];Commercial;Minivan;no;5;1.0;Highly Urban/ Urban;10/05/2022;complet;dev_express;270,62;69485-77
M;54;Non;Non;[40k€+];Commercial;Panel Truck;no;4;11.0;Highly Urban/ Urban;24/01/2022;complet;dev_premium;387,55;45383-78
F;55;Non;Non;[40k€+];Private;Minivan;no;4;6.0;Highly Urban/ Urban;01/02/2022;complet;dev_express;250,56;45575-79
M;63;Non;Non;[40k€+];Private;Minivan;yes;1;1.0;Highly Urban/ Urban;20/04/2022;complet;dev_premium;365,92;32280-80
M;85;Non;Non;[0, 20k€];Private;Sports Car;no;0;3.0;z_Highly Rural/ Rural;02/01/2022;complet;dev_express;262,36;60378-81
M;66;Non;Non;[40k€+];Commercial;Van;yes;0;8.0;z_Highly Rural/ Rural;18/02/2022;complet;dev_express;277,09;94024-82
F;66;Non;Oui;[20k€, 40k€];Commercial;z_SUV;no;0;4.0;Highly Urban/ Urban;27/04/2022;complet;dev_express;259,21;58908-83
M;66;Non;Non;[0, 20k€];Private;Sports Car;no;1;;z_Highly Rural/ Rural;09/05/2022;complet;dev_express;250,69;20939-84
M;64;Non;Non;[40k€+];Commercial;Pickup;yes;2;8.0;Highly Urban/ Urban;14/01/2022;complet;dev_express;283,5;78219-85
M;43;Non;Non;[40k€+];Private;Minivan;yes;0;9.0;Highly Urban/ Urban;30/03/2022;complet;dev_express;263,27;13198-86
M;55;Non;Non;Inconnus;Private;Minivan;no;0;17.0;Highly Urban/ Urban;25/01/2022;complet;dev_premium;467,09;49617-87
F;24;Oui;Oui;[20k€, 40k€];Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;28/05/2022;complet;dev_express;256,57;38533-88
M;51;Non;Non;[40k€+];Private;Minivan;no;0;13.0;Highly Urban/ Urban;12/02/2022;complet;dev_premium;546,4;10545-89
M;60;Non;Oui;[40k€+];Private;Sports Car;no;0;2.0;z_Highly Rural/ Rural;11/01/2022;complet;dev_integral;281,17;79460-90
M;82;Non;Non;[40k€+];Commercial;Minivan;no;3;1.0;Highly Urban/ Urban;15/04/2022;complet;dev_express;268,99;42418-91
